"LIF_ID";"FAC_ID";"LIF_QTE";"LIF_REMISE_POURCENT";"LIF_REMISE_MONTANT";"LIF_MONTANT";"LIF_TAUX_TVA"
1;1;1;15;;320;18.6
2;3;1;;50;250;18.6
3;3;1;;50;320;18.6
4;3;1;;50;240;18.6
5;5;1;;;320;18.6
6;5;1;;;220;18.6
7;7;1;;;220;18.6
8;7;1;;;250;18.6
9;7;1;;;320;18.6
10;7;1;;;270;18.6
11;7;2;;;250;18.6
12;9;2;;;220;18.6
13;9;1;;;240;18.6
14;9;2;;;240;18.6
15;9;1;;;220;18.6
16;11;1;;;270;18.6
17;13;1;;;220;18.6
18;13;1;;;220;18.6
19;13;1;;;250;18.6
20;15;1;;;250;18.6
21;15;1;;;250;18.6
22;15;1;;;250;18.6
23;15;1;;;250;18.6
24;17;1;;;308;20.6
25;17;1;;;275;20.6
26;19;1;;;242;20.6
27;19;1;;;242;20.6
28;19;2;;;275;20.6
29;19;1;;;275;20.6
30;19;1;;;264;20.6
31;19;1;;;242;20.6
32;21;1;;;275;20.6
33;21;1;;;352;20.6
34;21;1;;;297;20.6
35;21;1;;;275;20.6
36;21;1;;;242;20.6
37;23;1;;;275;20.6
38;23;1;;;275;20.6
39;23;1;;;275;20.6
40;23;1;;;297;20.6
41;23;1;;;242;20.6
42;23;1;;;275;20.6
43;2;1;15;;264;20.6
44;2;1;15;;288;20.6
45;2;1;15;;384;20.6
46;4;1;;50;384;20.6
47;4;1;;50;264;20.6
48;6;1;;;264;20.6
49;6;1;;;300;20.6
50;6;1;;;384;20.6
51;6;1;;;384;20.6
52;6;1;;;324;20.6
53;8;1;;;300;20.6
54;8;2;;;264;20.6
55;8;1;;;384;20.6
56;10;1;;;264;20.6
57;10;1;;;324;20.6
58;12;1;;;264;20.6
59;12;1;;;384;20.6
60;12;1;;;288;20.6
61;12;1;;;324;20.6
62;14;1;;;288;20.6
63;14;1;;;264;20.6
64;16;1;;;300;20.6
65;16;1;;;324;20.6
66;18;1;;;330;20.6
67;18;1;;;330;20.6
68;20;1;;;330;20.6
69;20;1;;;360;20.6
70;20;1;;;480;20.6
71;20;1;;;375;20.6
72;22;1;;;375;20.6
73;22;1;;;375;20.6
74;24;1;;;330;20.6
75;24;1;;;330;20.6
76;24;1;;;405;20.6
77;25;1;15;;250;18.6
78;25;1;15;;270;18.6
79;25;1;15;;220;18.6
80;27;1;;50;250;18.6
81;27;1;;50;220;18.6
82;27;1;;50;250;18.6
83;27;1;;50;250;18.6
84;27;1;;50;270;18.6
85;29;1;;;220;18.6
86;29;1;;;220;18.6
87;29;1;;;220;18.6
88;29;1;;;320;18.6
89;29;1;;;240;18.6
90;29;1;;;220;18.6
91;32;1;;;250;18.6
92;32;1;;;320;18.6
93;32;2;;;320;18.6
94;32;2;;;270;18.6
95;32;2;;;220;18.6
96;34;1;;;320;18.6
97;34;2;;;240;18.6
98;34;1;;;220;18.6
99;36;1;;;320;18.6
100;36;2;;;270;18.6
101;36;2;;;240;18.6
102;36;1;;;220;18.6
103;38;2;;;220;18.6
104;38;1;;;250;18.6
105;38;1;;;250;18.6
106;38;1;;;220;18.6
107;40;1;;;242;20.6
108;40;1;;;264;20.6
109;40;1;;;275;20.6
110;40;1;;;297;20.6
111;40;1;;;242;20.6
112;42;1;;;275;20.6
113;42;1;;;297;20.6
114;42;1;;;264;20.6
115;42;2;;;297;20.6
116;42;1;;;242;20.6
117;44;1;;;242;20.6
118;44;1;;;275;20.6
119;44;1;;;275;20.6
120;44;1;;;242;20.6
121;46;1;;;242;20.6
122;46;1;;;275;20.6
123;26;1;15;;264;20.6
124;26;2;15;;264;20.6
125;26;1;15;;264;20.6
126;26;1;15;;336;20.6
127;26;1;15;;324;20.6
128;26;1;15;;324;20.6
129;28;1;;50;264;20.6
130;28;1;;50;324;20.6
131;28;1;;50;288;20.6
132;28;1;;50;264;20.6
133;28;1;;50;264;20.6
134;30;1;;;264;20.6
135;30;1;;;288;20.6
136;30;2;;;300;20.6
137;30;1;;;300;20.6
138;30;1;;;300;20.6
139;30;2;;;324;20.6
140;30;1;;;264;20.6
141;31;2;;;264;20.6
142;33;2;;;264;20.6
143;33;2;;;288;20.6
144;33;1;;;300;20.6
145;33;1;;;300;20.6
146;35;1;;;300;20.6
147;35;1;;;336;20.6
148;35;1;;;324;20.6
149;37;1;;;264;20.6
150;37;1;;;264;20.6
151;37;1;;;384;20.6
152;37;1;;;300;20.6
153;39;1;;;300;20.6
154;39;1;;;264;20.6
